City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
512,antalaha,-14.9003,50.2788,25.1,81,6,1.84,MG,1682136880
513,kavieng,-2.5744,150.7967,28.79,77,56,4.65,PG,1682136880
514,atambua,-9.1061,124.8925,27.56,61,86,1.05,ID,1682136881
515,mgandu,-5.95,34.1333,15.6,98,100,2.78,TZ,1682136882
516,turukhansk,65.8167,87.9833,-0.36,97,100,7.14,RU,1682136882
517,nome,64.5011,-165.4064,1.17,80,0,2.57,US,1682136731
518,patacamaya,-17.2333,-67.9167,8.93,63,0,1.67,BO,1682136884
519,lorengau,-2.0226,147.2712,28.7,76,53,1.9,PG,1682136516
520,coahuayana,18.7333,-103.6833,21.81,87,30,0.92,MX,1682136885
521,zamora,-4.0692,-78.9567,19.4,96,100,1.94,EC,1682136886
522,buchanan,5.8808,-10.0467,25.98,88,85,2.76,LR,1682136886
523,iskateley,67.6803,53.1512,-6.6,90,54,2.12,RU,1682136887
524,tiznit,29.5833,-9.5,12.28,73,0,1.1,MA,1682136887
525,roma,43.2128,-75.4557,17.04,83,75,3.6,US,1682136887
526,tashara,55.5195,83.5094,5.9,41,48,3.44,RU,1682136888
527,avera,33.194,-82.5271,20.03,68,100,4.75,US,1682136888
528,kalmunai,7.4167,81.8167,28.76,70,56,2.54,LK,1682136889
529,shu,43.5983,73.7614,10.95,34,72,1.98,KZ,1682136889
530,gushikawa,26.3544,127.8686,25.0,72,100,6.17,JP,1682136890
531,eyl,7.9803,49.8164,28.81,66,98,4.75,SO,1682136891
532,nyurba,63.2842,118.3319,-0.82,75,96,3.78,RU,1682136891
533,banikoara,11.2985,2.4386,27.5,55,45,2.15,BJ,1682136892
534,vila velha,-20.3297,-40.2925,23.3,82,75,2.06,BR,1682136784
535,benoy,8.9833,16.3199,29.34,45,100,3.11,TD,1682136893
536,port hedland,-20.3167,118.5667,32.03,23,95,9.26,AU,1682136893
537,satipo,-11.2522,-74.6386,22.4,83,100,0.64,PE,1682136894
538,tual,-5.6667,132.75,28.37,78,100,5.48,ID,1682136894
539,taoudenni,22.6783,-3.9836,23.91,11,78,4.25,ML,1682136895
540,gatesville,31.4352,-97.7439,17.38,59,3,4.31,US,1682136895
541,mayo,38.8876,-76.5119,24.17,57,0,5.14,US,1682136896
542,balikpapan,-1.2675,116.8289,30.55,66,75,1.54,ID,1682136896
543,hohoe,7.1518,0.4736,23.84,92,100,1.73,GH,1682136896
544,yeppoon,-23.1333,150.7333,27.88,65,42,9.17,AU,1682136897
545,luderitz,-26.6481,15.1594,12.31,80,62,3.03,NA,1682136897
546,mogadishu,2.0371,45.3438,28.95,71,87,3.77,SO,1682136635
547,nabire,-3.3667,135.4833,29.56,72,91,1.89,ID,1682136898
548,agadez,19.75,10.25,27.09,14,29,5.56,NE,1682136898
549,machhlishahr,25.6833,82.4167,34.9,18,71,1.86,IN,1682136899
550,camaqua,-30.8511,-51.8122,14.74,95,87,2.09,BR,1682136899
551,xinye,32.5186,112.3522,7.48,68,100,8.64,CN,1682136900
552,manaus,-3.1019,-60.025,27.27,83,40,1.54,BR,1682136848
553,palmer,42.1584,-72.3287,9.75,68,75,1.54,US,1682136901
554,haftoni,38.7632,48.7622,15.84,82,75,1.03,AZ,1682136901
555,kapit,2.0167,112.9333,34.26,51,99,0.67,MY,1682136902
556,corinto,37.9407,22.9573,12.16,81,24,0.54,GR,1682136903
557,orlik,52.5178,99.825,-5.33,47,6,1.52,RU,1682136903
558,bilibino,68.0546,166.4372,1.51,92,6,0.73,RU,1682136904
559,mawlaik,23.6333,94.4167,39.16,22,70,0.54,MM,1682136905
560,hohhot,40.8106,111.6522,14.25,10,40,4.16,CN,1682136905
561,merseburg,51.3667,12.0,9.55,80,0,5.14,DE,1682136906
562,giresun,40.5,38.5,-0.72,80,6,2.64,TR,1682136906
563,van buren,35.4368,-94.3483,13.01,59,0,0.0,US,1682136907
